date,text,username,tweet_to,times_retweeted,times_favorited,mentions,hashtags,bot_rating,likely_bot
2020-02-04 03:16:55+00:00,California Fires Revelation! Fires Line Up Exactly in the Path as CA High Speed Rail System (Video) ,doctorjen1,_,0,0,_,_,0.0026183131920431,False
2020-01-29 01:19:46+00:00,"Just like the California fires, the path of the Australia fires coincidentally lines up exactly to the map of the projected high speed rail project route ... ",Ann_A_Waywego,_,0,0,_,_,0.0087506940092443,False
2020-01-25 04:34:34+00:00,"Wow, just like the California fires, only fires in the proposed high speed rail zones.",VisitorAmanda,jaypaul79,0,1,_,_,0.0112593465706467,False
2020-01-24 03:45:14+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,itsmereynamae,_,0,0,_,_,0.7642023402653852,True
2020-01-24 03:26:26+00:00,I have heard this conspiracy theory re California fires too. Did you ask him what high speed rail is going to be built on Kangaroo Island?,bluebowerbird,tashellenheenan,0,1,_,_,0.0019457839054003,False
2020-01-23 02:31:01+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube Now you know the reason for the fires ,chuckinoz,_,0,1,@YouTube,_,0.2868686645806602,False
2020-01-19 10:08:47+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,IneldaLovi,_,0,0,_,_,0.0282255522210501,False
2020-01-17 16:09:01+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,NickyGMC,_,0,0,_,_,0.2564674002687074,False
2020-01-17 00:22:04+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/EClZqnfUZxg via @YouTube,WoodardHortense,_,0,0,@YouTube,_,0.1104637682719471,False
2020-01-16 23:02:16+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/EClZqnfUZxg via @YouTube,RottenJoan,_,0,1,@YouTube,_,0.2564674002687074,False
2020-01-16 22:35:29+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/EClZqnfUZxg via @YouTube,BarbaraAnneCra2,_,0,0,@YouTube,_,0.0087506940092443,False
2020-01-16 21:19:47+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail project Artificial Future https://youtu.be/EClZqnfUZxg,206SolarEclipse,_,1,0,_,_,0.0042683062228309,False
2020-01-16 18:50:36+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/a2grDvifl4w via @YouTube,Respect4all23,_,0,0,@YouTube,_,0.0022344951904619,False
2020-01-16 16:15:38+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail proj... https://youtu.be/EClZqnfUZxg via @YouTube,JOSEPHMARY1234,_,0,1,@YouTube,_,0.0112593465706467,False
2020-01-16 08:15:09+00:00,#r4Today did not ask Sir David Attenborough about the role of DEW in Australia &amp; California fires and the high speed rail routes? #ClimateChange @Attenboroughs_D #auspol,ForFreeSpeech1,LaoTzu5,0,0,@Attenboroughs_D,#r4Today #ClimateChange #auspol,0.0022344951904619,False
2020-01-15 13:35:23+00:00,It goes even deeper than that and is a multifaceted challenge. Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 ,MzwaChris,IslamRizza,0,0,_,_,0.0112593465706467,False
2020-01-15 13:26:46+00:00,You don't fight teenage children; but you tolerate them and hope they come to see they are the tools not only of their own destruction but also of others. Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 https://www.youtube.com/watch?v=a2grDvifl4w,MzwaChris,AfricaMustWake,1,0,_,_,0.0112593465706467,False
2020-01-15 13:24:51+00:00,You don't fight teenage children; but you tolerate them and hope they come to see they are the tools not only of their own destruction but also of others. Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 https://www.youtube.com/watch?v=a2grDvifl4w,MzwaChris,AfricaMustWake,0,2,_,_,0.0112593465706467,False
2020-01-15 13:24:17+00:00,You don't fight teenage children; but you tolerate them and hope they come to see they are the tools not only of their own destruction but also of others. Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 https://www.youtube.com/watch?v=a2grDvifl4w,MzwaChris,AfricaThen,0,1,_,_,0.0112593465706467,False
2020-01-15 12:30:51+00:00,Australia & California fires (EXPOSED) Smart cities high speed rail projects Artificial Future 2020 https://www.youtube.com/watch?v=a2grDvifl4w,MzwaChris,_,0,1,_,_,0.0112593465706467,False
2020-01-15 10:42:53+00:00,How about the California fires. They seemed suspicious? High speed rail I heard.,AD360UK,Bobliness,0,0,_,_,0.1104637682719471,False
